"filename", "language", "HTML", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\keiran\Desktop\gaming\ht\Gaming_pc's.html", "HTML", 136, 0, 0, 0, 0, 23, 159
"c:\Users\keiran\Desktop\gaming\ht\Gaming_pc.html", "HTML", 136, 0, 0, 0, 0, 23, 159
"c:\Users\keiran\Desktop\gaming\ht\chat.html", "HTML", 18, 0, 0, 0, 0, 10, 28
"c:\Users\keiran\Desktop\gaming\ht\console.html", "HTML", 125, 0, 0, 0, 0, 15, 140
"c:\Users\keiran\Desktop\gaming\ht\css\css.css", "CSS", 0, 0, 0, 13, 0, 3, 16
"c:\Users\keiran\Desktop\gaming\ht\css\navbar1.css", "CSS", 0, 0, 0, 11, 0, 0, 11
"c:\Users\keiran\Desktop\gaming\ht\css\style.css", "CSS", 0, 0, 0, 45, 0, 8, 53
"c:\Users\keiran\Desktop\gaming\ht\css\style2.css", "CSS", 0, 0, 0, 45, 0, 8, 53
"c:\Users\keiran\Desktop\gaming\ht\css\style3.css", "CSS", 0, 0, 0, 53, 3, 8, 64
"c:\Users\keiran\Desktop\gaming\ht\css\styles.css", "CSS", 0, 0, 0, 149, 0, 24, 173
"c:\Users\keiran\Desktop\gaming\ht\customer_service1.html", "HTML", 140, 0, 0, 0, 0, 37, 177
"c:\Users\keiran\Desktop\gaming\ht\home.html", "HTML", 87, 0, 0, 0, 0, 4, 91
"c:\Users\keiran\Desktop\gaming\ht\login.html", "HTML", 73, 0, 0, 0, 0, 16, 89
"c:\Users\keiran\Desktop\gaming\ht\package-lock.json", "JSON", 0, 0, 939, 0, 0, 1, 940
"c:\Users\keiran\Desktop\gaming\ht\package.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"c:\Users\keiran\Desktop\gaming\ht\peripherals.html", "HTML", 140, 0, 0, 0, 0, 31, 171
"c:\Users\keiran\Desktop\gaming\ht\server.js", "JavaScript", 0, 25, 0, 0, 1, 6, 32
"c:\Users\keiran\Desktop\gaming\ht\signup.html", "HTML", 73, 0, 0, 0, 0, 16, 89
"Total", "-", 928, 25, 945, 316, 4, 233, 2451
