"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\keiran\Desktop\gaming\ht\Gaming_pc's.html", "HTML", 0, 136, 0, 0, 0, 24, 160
"c:\Users\keiran\Desktop\gaming\ht\Gaming_pc.html", "HTML", 0, 136, 0, 0, 0, 23, 159
"c:\Users\keiran\Desktop\gaming\ht\backendServer.js", "JavaScript", 37, 0, 0, 0, 1, 10, 48
"c:\Users\keiran\Desktop\gaming\ht\chat.html", "HTML", 0, 18, 0, 0, 0, 10, 28
"c:\Users\keiran\Desktop\gaming\ht\console.html", "HTML", 0, 125, 0, 0, 0, 15, 140
"c:\Users\keiran\Desktop\gaming\ht\css\css.css", "CSS", 0, 0, 0, 13, 0, 3, 16
"c:\Users\keiran\Desktop\gaming\ht\css\navbar1.css", "CSS", 0, 0, 0, 11, 0, 0, 11
"c:\Users\keiran\Desktop\gaming\ht\css\style.css", "CSS", 0, 0, 0, 45, 0, 8, 53
"c:\Users\keiran\Desktop\gaming\ht\css\style2.css", "CSS", 0, 0, 0, 45, 0, 8, 53
"c:\Users\keiran\Desktop\gaming\ht\css\style3.css", "CSS", 0, 0, 0, 53, 3, 8, 64
"c:\Users\keiran\Desktop\gaming\ht\css\styles.css", "CSS", 0, 0, 0, 149, 0, 24, 173
"c:\Users\keiran\Desktop\gaming\ht\customer_service1.html", "HTML", 0, 140, 0, 0, 0, 37, 177
"c:\Users\keiran\Desktop\gaming\ht\home.html", "HTML", 0, 88, 0, 0, 0, 5, 93
"c:\Users\keiran\Desktop\gaming\ht\login.html", "HTML", 0, 118, 0, 0, 0, 13, 131
"c:\Users\keiran\Desktop\gaming\ht\nodejs-base64.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"c:\Users\keiran\Desktop\gaming\ht\package-lock.json", "JSON", 0, 0, 8195, 0, 0, 1, 8196
"c:\Users\keiran\Desktop\gaming\ht\package.json", "JSON", 0, 0, 25, 0, 0, 1, 26
"c:\Users\keiran\Desktop\gaming\ht\peripherals.html", "HTML", 0, 140, 0, 0, 0, 31, 171
"c:\Users\keiran\Desktop\gaming\ht\server.js", "JavaScript", 25, 0, 0, 0, 1, 6, 32
"c:\Users\keiran\Desktop\gaming\ht\signup.html", "HTML", 0, 219, 0, 0, 0, 40, 259
"c:\Users\keiran\Desktop\gaming\ht\var message = 'Hello, World!';.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\keiran\Desktop\gaming\ht\webpack.config.js", "JavaScript", 22, 0, 0, 0, 0, 2, 24
"Total", "-", 97, 1120, 8220, 316, 5, 272, 10030
